INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Lon_Lat,X_COORD_NORM,Y_COORD_NORM,Longitude,Latitude
94814972,02/07/2014,06:25:00,MANHATTAN,13,0,NA,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,WHITE HISPANIC,986800.6875,209942.640625,POINT (-73.99079658699998 40.74292851200005),-22653.8711374472,2048.86371755376,-73.99079658700003,40.7429285120001
210709521,03/08/2020,05:00:00,MANHATTAN,9,2,MULTI DWELL - PUBLIC HOUS,FALSE,45-64,M,BLACK,<18,M,WHITE HISPANIC,990324.1875,202686.171875,POINT (-73.97808761299996 40.72300956700008),-19130.3711374472,-5207.60503244624,-73.97808761300003,40.7230095670001
171094332,11/01/2017,07:55:00,MANHATTAN,9,0,NA,TRUE,45-64,M,WHITE,45-64,F,WHITE,987001.8125,204801.5625,POINT (-73.99007287499995 40.72881745900003),-22452.7461374472,-3092.21440744624,-73.99007287500001,40.728817459
81701068,11/15/2011,02:23:00,MANHATTAN,10,0,BAR/NIGHT CLUB,TRUE,45-64,M,BLACK,25-44,F,BLACK,982399.25,211453.25,POINT (-74.00668080699995 40.74707493100004),-27055.3086374472,3559.47309255376,-74.00668080700001,40.74707493099999
10713397,03/16/2006,16:08:00,MANHATTAN,13,0,COMMERCIAL BLDG,FALSE,UNKNOWN,M,BLACK,45-64,M,ASIAN / PACIFIC ISLANDER,987043.5,210691.984375,POINT (-73.98992001999994 40.74498520100008),-22411.0586374472,2798.20746755376,-73.98992001999993,40.7449852010001
187133718,08/31/2018,23:16:00,MANHATTAN,13,0,NA,FALSE,25-44,F,BLACK,<18,F,BLACK,989738.375,209197.015625,POINT (-73.98019573899995 40.74088062200008),-19716.1836374472,1303.23871755376,-73.98019573900002,40.74088062200009
197016008,05/09/2019,01:32:00,MANHATTAN,1,0,BAR/NIGHT CLUB,FALSE,18-24,M,WHITE HISPANIC,25-44,M,BLACK,982761.5,204594.59375,POINT (-74.00537192799999 40.72824968200007),-26693.0586374472,-3299.18315744624,-74.00537192800002,40.72824968200009
153309006,05/22/2016,05:35:00,MANHATTAN,13,0,NA,FALSE,NA,NA,NA,25-44,M,BLACK,984725,209050,POINT (-73.99828734199997 40.740478790000054),-24729.5586374472,1156.22309255376,-73.99828734200003,40.74047879000009
67390154,11/01/2009,01:30:00,MANHATTAN,6,0,NA,FALSE,UNKNOWN,U,UNKNOWN,18-24,F,BLACK,983797.25,207177.578125,POINT (-74.00163513599995 40.73533945600008),-25657.3086374472,-716.198782446241,-74.00163513600003,40.7353394560001
24449553,09/23/2006,00:02:00,MANHATTAN,5,0,NA,FALSE,<18,M,BLACK HISPANIC,<18,M,BLACK HISPANIC,986929.125,202081.515625,POINT (-73.99033621399997 40.721351611000046),-22525.4336374472,-5812.26128244624,-73.99033621400002,40.721351610999996
